date,category,title,article_count,clean_title,keywords
2025-01-23,total,"헌재, '2인 의결' 이진숙 방통위원장 탄핵 기각",130,헌재 2인 의결 이진숙 방통위원장 탄핵 기각,"['헌재', '이진숙', '방통', '탄핵']"
2025-01-23,total,"공수처, 윤 대통령 사건 검찰로 이첩",66,공수처 윤 대통령 사건 검찰로 이첩,"['공수', '대통령', '이첩']"
2025-01-23,total,"LG전자, '역대 최대' 매출…영업익 소폭 하락",53,LG전자 역대 최대 매출 영업익 소폭 하락,"['LG전자', '소폭', 'LG']"
2025-01-23,total,"이재명 ""당 지지율 하락은 국민 뜻…겸허히 수용""",50,이재명 당 지지율 하락은 국민 뜻 겸허히 수용,"['이재명', '수용']"
2025-01-23,total,고려아연 임시주총 5시간째 지연…파행 관측도,41,고려아연 임시주총 5시간째 지연 파행 관측도,"['고려아연', '임시', '주총', '시간', '지연', '파행']"
2025-01-23,total,"尹대통령 호송차, 헌재 도착… 지지자들 “석방하라”",39,대통령 호송차 헌재 도착 지지자들 석방하라,"['대통령', '호송차', '헌재', '도착', '지지자', '석방']"
2025-01-23,total,"美국무장관 “한미 동맹, 평화·안보 핵심축”",39,국무장관 한미 동맹 평화 안보 핵심축,"['국무장관', '동맹', '평화', '안보']"
2025-01-23,total,"김용현과 눈 안마주친 윤, 유리한 발언엔 '끄덕끄덕'",36,김용현과 눈 안마주친 윤 유리한 발언엔 끄덕끄덕,"['김용현', '발언']"
2025-01-23,total,작년 한국 경제성장률 2%…4분기는 전망치 대폭 밑돌아,36,작년 한국 경제성장률 2 4분기는 전망치 대폭 밑돌아,['경제성장']
2025-01-23,total,"검찰, 이재명 선거법 사건 위헌법률심판 의견서 제출",34,검찰 이재명 선거법 사건 위헌법률심판 의견서 제출,"['이재명', '선거법', '위헌법률심판', '의견서']"
2025-01-22,total,공수처는 오늘도 공쳤다…尹강제구인 세번째 시도 불발,140,공수처는 오늘도 공쳤다 강제구인 세번째 시도 불발,"['공수', '강제', '구인', '세번', '시도', '불발']"
2025-01-22,total,"트럼프 ""다음달부터 중국 10% 관세 부과 논의 중""",55,트럼프 다음달부터 중국 10 관세 부과 논의 중,"['트럼프', '중국', '관세']"
2025-01-22,total,"'서부지법 난동' 58명 중 56명 구속…""도주 우려""",43,서부지법 난동 58명 중 56명 구속 도주 우려,"['서부', '지법', '난동', '도주']"
2025-01-22,total,"""北 핵보유국"" 트럼프 발언에 정치권 술렁",35,핵보유국 트럼프 발언에 정치권 술렁,"['핵보유국', '트럼프', '발언', '정치']"
2025-01-22,total,"최 대행 ""주요 기관에 경찰기동대 24시간 상시 배치""",33,최 대행 주요 기관에 경찰기동대 24시간 상시 배치,"['대행', '기관', '기동대', '시간', '상시', '배치']"
2025-01-22,total,"대명, 티웨이항공 경영권 인수 본격화",31,대명 티웨이항공 경영권 인수 본격화,"['대명', '티웨이항공']"
